ISBN,書籍名,カテゴリ,定価,状態ランク,在庫日数,買取価格,販売価格,販売済,粗利
9784062936194,ノルウェイの森,文学,1600,A,15,480,1100,1,620
9784101001012,こころ,文学,420,B,45,80,280,1,200
9784478067710,嫌われる勇気,ビジネス,1650,A,8,550,1200,1,650
9784163908090,コンビニ人間,文学,1400,A,22,400,900,1,500
9784344030039,君の膵臓をたべたい,文学,1540,S,5,600,1300,1,700
9784087474398,1Q84,文学,1890,B,60,350,800,1,450
9784344426665,火花,文学,1320,A,18,380,850,1,470
9784106105012,思考の整理学,ビジネス,562,A,90,100,350,1,250
9784478025819,7つの習慣,ビジネス,2420,A,12,700,1600,1,900
9784799315934,メモの魔力,ビジネス,1540,S,3,550,1100,1,550
9784152097569,サピエンス全史,教養,2090,A,25,600,1400,1,800
9784532318314,ファクトフルネス,教養,1980,A,20,580,1300,1,720
9784150505516,星の王子さま,文学,528,B,120,50,200,1,150
9784041026120,容疑者Xの献身,文学,770,A,35,200,500,1,300
9784167110079,半沢直樹,文学,770,B,50,150,400,1,250
9784344028081,永遠の0,文学,920,A,40,220,550,1,330
9784062778817,海賊とよばれた男,文学,810,B,55,160,420,1,260
9784103534204,コーヒーが冷めないうちに,文学,1430,A,28,350,780,1,430
9784334033422,夜は短し歩けよ乙女,文学,649,A,65,130,380,1,250
9784101010052,坊っちゃん,文学,350,C,180,20,150,0,0
9784309464367,アウトプット大全,ビジネス,1595,S,7,500,1100,1,600
9784478102220,お金の大学,ビジネス,1540,A,10,480,1000,1,520
9784844377887,Python入門,技術書,2860,A,30,800,1800,1,1000
9784873119083,リーダブルコード,技術書,2640,S,15,900,2000,1,1100
9784295006329,Webデザイン入門,技術書,2530,B,75,400,1200,1,800
9784839967468,機械学習入門,技術書,3080,A,20,950,2200,1,1250
9784839970253,ディープラーニング,技術書,3520,A,25,1100,2500,1,1400
9784756117045,世界一美しい問題解決法,ビジネス,1760,B,85,280,700,0,0
9784344984066,億を稼ぐ積み上げ力,ビジネス,1540,A,12,450,950,1,500
9784065170069,三体,文学,2090,S,8,700,1600,1,900



