ISBN-10,ISBN-13,タイトル,著者,出版社,出版日,書齢,定価,価格（新品）,在庫数（新品）,価格（非常によい）,在庫数（非常によい）,価格（良い）,在庫数（良い）,価格（キズや使用感あり）,在庫数（キズや使用感あり）,内容,ジャンル,言語,本の長さ,版型
"4063897206","9784063897203","トランジット 19号 美しき北欧の光射す方へ (講談社mook)","","euphoria FACTORY","2012-12","13年","1886","","","","","1654","3","","","世界の美しい風景や文化を“旅”というフィルターを通して紹介。今回は美しき北欧を特集。切り取れる「北欧の愛しいもの」「ＭＡＲＩＭＥＫＫＯ  ＳＡＮＯＭＡＴ」付き。","旅行","jpn","194","A4変"
"4761528540","9784761528546","フランスのウォーカブルシティ","ヴァンソン藤井由実 著","学芸出版社（京都）","2023-05-18","2年","2970","","","","","","","","","フランスの街は今、歩く人や自転車で賑わい劇的にウォーカブルに変わっている。なぜ、スピーディにダイナミックに街を変えられるのか？歩行者空間の創出、自動車交通の抑制、自転車道・公共交通の整備、移動のDX等の方法論、制度・組織・実装のしくみを、多数の事例で紹介。15分都市からスマートシティまで、最前線に迫る。歩く人や自転車で賑わい劇的にウォーカブルに変わったフランスの街。15分都市からスマートシティまで、方法論を多数の事例で解説。はじめに

1章　パリ：ウォーカブルシティの最前線
1　ロックダウンで再認識された歩行中心の都市環境
2　世界とフランスの15分都市
3　パリのウォーカブルな都市再編
4　イダルゴ市長による「深呼吸するパリ」プラン
5　自動車交通を抑制するモビリティ政策
6　歩行者空間化は近隣商業を伸ばす

2章　なぜ、歩きたくなる都市が実現できるのか
1　ストラスブール、マルセイユ、ニース：観光都市のウォーカブルな水辺
2　ラ・ロシェル：70年代から取り組むカーフリーの発祥地
3　歩きたくなる都市を実現できる背景
4　車とどのように共存するか

3章　日常の移動を豊かにするモビリティ基本法
1　公共交通と歩行者空間をセットで都市を再編
2　公共交通の推進を支える法整備とプロジェクト支援
3　新しい時代の移動の哲学を示すモビリティ基本法
4　エコロジカルなモビリティへの移行

4章　ディジョン：MaaSの活用と統合型スマートシティ
1　行政が主導するMaaS
2　行政とコンソーシアムが協働するスマートシティ

5章　なぜ、都市政策をダイナミックに実装できるのか
1　広域で包括的な実行体制
2　政治家の高い意識と能力
3　行政の領域横断と機動力
4　財源の自立性と人材のダイバーシティ
5　税の再配分に見る社会の連帯
6　少子化対策にも貢献する住みやすい都市づくり

6章　ナント：15分都市エリアを創出したマスターアーバニストたち
1　中ノ島の造船所跡地の複合開発
2　都市開発におけるマスターアーバニストの役割
3　産業都市から環境・文化都市へ
4　マスタープランと建築許可によるコントロール
5　3代のマスターアーバニストが実現したこと
6　職住近接のライフスタイルを実現

7章　アンジェ：人々を巻き込む河岸駐車場の歩行者空間化
1　多様なステークホルダーとの合意形成を可能にする制度
2　市民に開かれた駐車場の広場転用プロセス
3　フランスの合意形成の特徴と意義

終章　フランスで主流になった「穏やかな街」
1　道路空間を共有するという発想が出発点
2　都市を車に適応させるプランニングからの脱却
3　穏やかな街を実現するステップとメリット
4　自分たちの住みたい都市を実現するために

おわりに","建築","jpn","272","46"
"4295401412","9784295401414","未来に通用する生き方","島崎信 著,中島健祐 著","クロスメディア・パブリッシング","2017-12-04","8年","1518","","","1896","1","","","","","【ジャンル：自己啓発】「将来に対する漠然とした不安」は、時代に左右されない普遍的な生き方を知ることで少しずつ解消できます。日々やらねばならぬことをコツコツとこなし、学び続けること。世界に先駆けて幸福度世界一・完全デジタル社会・脱化石燃料社会をつくりあげつつあるデンマーク人に学び、ストレスフルな社会を力強く生きていきましょう。食事・住まい・自然と過ごす休日など、明日から実践できる方法も満載。","社会科学総記","","221","B6"
"4761527196","9784761527198","PUBLIC HACK","笹尾和宏 著","学芸出版社（京都）","2019-09-20","6年","2200","","","1368","1","","","","","規制緩和、公民連携によって、公共空間の活用が進んでいる。だが、過度な効率化・収益化を追求する公共空間はルールに縛られ、商業空間化し、まちを窮屈にする。公民連携の課題を解決し、都市生活の可動域を広げるために、個人が仕掛けるアクティビティ、しなやかなマネジメント、まちを寛容にする作法を、実践例から解説。過度な活性化とルールに縛られた公共空間を解きほぐし、公民連携の課題を解決するノウハウ、アクティビティ＋マネジメント実践集はじめに
Chapter1　もっと私的に自由にまちを使おう
私的で自由な行為がつくるまちの風景
窮屈でシステム化された都市生活
公共空間の活用には社会的意義が必須？　
目的がなくてもいられるまちへ

Chapter2　 PUBLIC HACKを体現する実践者たち　
まちのスキマはどこにあるか？
アーバン・アウトドアを堪能する
1　すぐそばの自然を体感する
CASE1　夕日納め
CASE2　水辺ランチ
2　とっておきのベストロケーションを満喫する
CASE3　水辺ダイナー
CASE4　チェアリング
3　見知らぬ他人と時間を共有する
CASE5　Re:Bar
CASE6　流しのこたつ
CASE7　くにたち0円ショップ
4　まちのスキマを賢く使う
CASE8　クランピング
CASE9　 URBAN SPACE DISCO
CASE10　ストリートダンス
常識から解き放たれる
5　外でやってみると意外と気持ちいい
CASE11　外朝ごはん
CASE12　夜明かし
6　アウトドア・アクティビティをまちに持ち込む
CASE13　大阪ラブボート
CASE14　ご近所野宿　
7　お金をかけずに自前で遊ぶ
CASE15　芝生シアター
CASE16　ピクニック演奏会
CASE17　青空カラオケ
まちの新たな使い方を呼び覚ます
8　都市空間を体で攻略する
CASE18　スケートボーディング
Chapter3　 PUBLIC HACKが持続するためのコツ
そんなこと本当にできるの？ 
都市生活の可動域を広げるために
PUBLIC HACKの作法
トレーニングしてみよう
Chapter4　利用者の自由を広げるマネジメント
公民連携が抱える構造的課題
これからの公共空間マネジメント
利用の自由を広げる維持管理
CASE1　アオーレ長岡のナカドマ：現場対応をマニュアル化しない
CASE2　グランドプラザ：管理されていると感じさせない
CASE3　うめきた広場：行為でなく程度で利用を制限する
CASE4　羽根木プレーパーク：アクシデントを「起こるもの」として取り扱う
CASE5　荒川下流域：自由使用を実現するルールの3段階運用
CASE6　路上ライブ：取り締まることを目的化しない
Chapter5　PUBLIC HACKがまちの価値を高める
まちの自由度の高さが生みだす効果
スキマはまちの自由度を測るモノサシ
まちの価値を生みだすのは「私的で自由な行為」

おわりに","建築","jpn","208","46"
"4479320822","9784479320821","探しものは北欧で (だいわ文庫)","森百合子 著","大和書房","2024-03-09","1年11ヶ月","880","","","579","1","","","","","毎年のように訪れている北欧の国々ーフィンランド、スウェーデン、デンマーク、ノルウェー、アイスランド（とエスト ニアもちょっとだけ）。

建築、デザイン、ダンスをきっかけに始まった旅がいつしか北欧の味やファッションにも魅せられ、町歩きから島へ、森へと旅する場所も広がっていく。
名物イベントで夏のスウェーデン人を観察、デンマークの母の家で過ごす時間、フィンランドじゃない国でサウナに目覚めた話。
ノルウェー人いい人伝説、自分史上最高のシナモンロール体験など、ちょっとディープな北欧の旅。
何度訪れても、北欧はおもしろい！　北欧を愛し、20年近く各国に通い続けた森さんの「暮らすように旅する」エッセイ。","日本文学・評論・随筆・その他","jpn","288","A6/文庫"
"4761527366","9784761527365","ドイツのスポーツ都市","高松平藏 著","学芸出版社（京都）","2020-03-19","5年","2750","","","1536","3","","","","","ドイツではスポーツが生活に密着し、街を動かすエンジンになっている。多彩なNPOがクラブを運営し、走りたくなる自転車道や歩道も完備され、集客イベントだけでなく、マラソン、サイクリングなど健康・余暇の運動も盛んで、地元企業の支援も厚い。スポーツ人口を増やし、健康に暮らせる街に変えた10万人の地方都市の実践。ドイツではスポーツが生活に密着し、マラソン、サイクリング等が盛ん。スポーツ人口を増やし市民を健康に変えた10万人都市の実践。はじめに

1章　スポーツクラブというコミュニティ
1　ドイツのスポーツクラブとは　
2　ブンデスリーガもスポーツクラブ　
3 　100のスポーツクラブがある10万人都市　
4　社会関係資本としてのスポーツクラブ　
5　ドイツでスポーツが普及したきっかけ　

2章　まちを盛り上げるスポーツ
1　スポーツ人口を広げるしくみ
2　地元のプロチームはまちの誇り　
3　まちがスポーツ競技場に　
4　まちに出てスポーツを観戦する　

3章　サステイナブルなアウトドア・ツーリズム
1　自然を楽しむ文化　
2　身近なハイキング　
3　アウトドア・ツーリズムのマーケティング　

4章　健康に暮らせるまちをつくる
1　散歩好きのドイツ人　
2　まちで体を動かしたくなる仕掛け　
3　サイクリストにやさしいまち　
4　歩きたくなるストリート　
5　市民の健康がまちの持続力を高める　
6　スポーツ人口を増やす政策　

5章　スポーツが地域経済に与えるインパクト
1　スポーツの経済効果　
2　行政によるスポーツ支援　
3　企業のスポンサリング　
4　企業に選ばれる地域になるために　
5　健康保養都市の観光戦略　
6　資源を消費させない観光開発　

6章　スポーツ人口を増やすプロモーション
1　スポーツへの関心を底上げするフェストとメッセ　
2　スポーツクラブの広報戦略　
3　活発な地元のスポーツ・ジャーナリズム

7章　スポーツで都市の質を高める
1　自治体のスポーツ戦略　
2　スポーツで社会的問題を解決する　
3　都市の質を高めるエンジン　

おわりに　ウォーカブルシティ;歩きたくなるまちづくり;歩きやすいまちづくり;地方都市;シビック・プライド;健康増進;社会的市場経済;社会関係資本;健康都市;自転車都市;サイクリング;スポーツビジネス;スポーツ・ツーリズム;スポーツ・マーケティング;ソーシャル・インクルージョン;公民連携;PPP","建築","jpn","220","46"
"4761526238","9784761526238","ポートランド","山崎満広 著","学芸出版社（京都）","2016-05-25","9年","2200","","","749","1","","","","","この10年全米で一番住みたい都市に選ばれ続け、毎週数百人が移住してくるポートランド。コンパクトな街、サステイナブルな交通、クリエイティブな経済開発、人々が街に関わるしくみなど、才能が集まり賢く成長する街のつくり方を、市開発局に勤務する著者が解説。アクティビストたちのメイキング・オブ・ポートランド。この10年全米で一番住みたい都市に選ばれ続けているポートランド。コンパクトでクリエイティブ、才能が集まる街のつくり方を解説。はじめに　僕がポートランドを選んだ理由

1章　なぜ、ポートランドが注目されるのか
1　サステイナブルで小さくあることを選んだ街
2　リベラルでカジュアルなパシフィック・ノースウェストの文化
3　ポートランドをつくる人々
4　注目の都市再生エリア
ダウンタウン
セントラル・イーストサイド
パール
アルバータ
ノース・ミシシッピ／ノース・ウィリアムズ
ロイド
5　オレゴンの精神

2章　徒歩20分圏コミュニティをデザインする
1　歩きたくなるストリートで街が賑わう
20分圏コミュニティのライフスタイル
新旧の建物の混在をコントロールする
賑わいを呼ぶ通りのデザイン
建物のミクストユース
ゾーニングと商業誘致
2　行政と民間のポジティブな関係
面的デザインを可能にする、行政と民間のパートナーシップ
オープンスペースを増やし、エリアの価値を高める
行政とデベロッパーによるパール地区の開発
3　「エコディストリクト」というコンセプト
一つの地区を環境システムとしてデザインする
発祥の地「ブルワリー・ブロック」
ミクストユースの次世代モデル地区「ハサロー・オン・エイス」
ワシントンDCの「サウスウェスト」

3章　40年かけてつくられたコンパクトシティ
1　スタンプタウンから環境先進都市へ
街を汚しながら成長した工業都市時代
国のハイウェイ事業への反乱
トム・マッコール・オレゴン州知事の登場
　サステイナビリティと経済成長の両立
2　都市の成長をコントロールする
都市成長境界線ができた背景
農地と自然の保護
効果的なインフラ開発
都市成長境界線を管理するメトロ政府
3　公共交通が変える街の使い方
公共交通を運営するトライメット
全米一の自転車都市
INTERVIEW　ボブ・ヘイスティング（トライメット・チーフアーキテクト）
4　都市計画の策定プロセス

4章　草の根の参加を支えるネイバーフッド
1　市民や企業が参加する都市開発のしくみ
合意形成のルール、住民参画のしくみ
20年後の街を描くデザイン・ワークショップ
2　草の根の活動を支えるネイバーフッド・アソシエーション
町内会との違い
コミュニティづくりの基盤
INTERVIEW　ケイト・ワシントン（パール地区ネイバーフッド・アソシエーション副代表）
3　アクティビストたちが先導した市民参加
なぜポートランドの市民参加率は高いのか
アルバイナ地区から始まった草の根開発
活動家ニール・ゴールドシュミット市長の登場
政治家に転身した元活動家たちの活躍
ネイバーフッドという市民参加のシステム

5章　ポートランド市開発局（PDC）による都市再","建築","jpn","239","B6"
"4502496715","9784502496714","デジタルローカルハブ","神尾文彦 編著","中央経済社","2024-04-02","1年10ヶ月","3300","","","","","","","426","1","スマートシティの次のコンセプトを提示する！ 自立経済都市（圏）のモデルとなるドイツやデンマークなどの国外事例や、日本国内で戦略策定に取り組んでいる事例を多数紹介。スマートシティの究極的な目標はこれだ！　ドイツやデンマーク、日本国内での事例を多数紹介。","経営","jpn","268","A5"
"4395320287","9784395320288","広場のデザイン","小野寺康 著","彰国社","2014-10","11年","2750","","","834","1","783","1","575","1","生きていく喜びに満ちた本物の都市空間は、どう形づくられてきたのか。世界中の魅力的なにぎわい空間を紹介し、人の集まる場所にはどんなデザインが施されているかを、事例をあげわかりやすく解説する。","建築","jpn","224","A5"
"4804706224","9784804706221","北欧時間","日暮いんこ 著","大和出版（文京区）","2023-10-13","2年","1870","","","1432","1","","","","","「幸せになりたい！」と嘆いてジタバタしていた私。「人に認められるような成果を出すために努力する」ことが、いつか幸せになるために有効な時間の使い方だと勘違いしていました。そんな私に北欧の人達は、「幸せは、今、ここにあるんだよ」と繰り返し教えてくれているようでした。――本文より

北欧に住み、彼らの「心豊かな暮らし」を見ていると、その秘訣が「時間の使い方」にあること、なかでも「セルフケアの時間／自分軸の時間／シングルタスクの時間／クリエイティブの時間／ヒュッゲの時間」の5つがカギであることがわかりました。

「北欧＝幸福度が高い国々」ということはなんとなく知っていても、なぜ幸福度が高いのか、彼らがどのように考え、どのように暮らしているかはあまり知られていないかもしれません。
この本では、写真と共にその秘密を解き明かします！
ぜひ一緒に、北欧流「本当に豊かな時間の使い方」に触れてみませんか？追われる毎日、少し立ち止まってみませんか？「森の中で過ごす」「『ない』を楽しむ」ほか、６年住んだクリエイターによる人生の知恵プロローグ　世界一幸せな北欧の24時間と３６５日
第１章　心と体のバランスを良好に保つ――セルフケアの時間
第２章　自分にとって本当に大切なことを明確にする――自分軸の時間
第３章　１つの物事に１００％集中する――シングルタスクの時間
第４章　遊び心と冒険心を忘れない――クリエイティブの時間
第５章　小さな幸せに感謝し、祝福する――ヒュッゲの時間","日本文学・評論・随筆・その他","jpn","192","46"
